Identifier,Grade,Grade_Ground_Truth,Centering,Centering_Ground_Truth,Surface,Surface_Ground_Truth,Corners,Corners_Ground_Truth,Edges,Edges_Ground_Truth
2135041001,8.0,7.5,9.0,10.0,8.0,7.0,8.0,8.5,8.0,7.5
2135041004,8.0,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.0,8.5
2135041006,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.0,8.5
2135041009,8.0,5.0,9.0,9.5,7.0,5.5,8.0,5.0,8.5,5.0
2135041010,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.0,8.5
2135041011,8.5,9.0,9.0,9.5,8.0,8.5,8.0,9.0,8.5,9.0
2135041013,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,8.5
2135041020,8.5,9.0,9.0,9.0,8.0,9.5,8.0,9.5,8.5,9.0
2135041028,8.0,8.5,9.0,9.0,7.0,8.0,8.0,9.0,8.5,9.0
2135041033,8.5,8.0,9.0,9.0,8.0,8.0,8.0,8.5,8.5,8.0
2135041034,8.0,8.0,9.0,9.0,7.5,8.0,8.0,8.5,8.5,8.0
2135041037,8.5,9.0,9.0,9.5,8.0,8.5,8.0,9.0,8.5,9.0
2135041039,8.0,7.0,9.0,9.0,7.5,8.5,8.0,6.0,8.0,7.5
2135041042,8.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,8.0,8.5
2135041045,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.0
2135041047,8.5,7.5,9.0,8.5,8.0,6.5,8.0,8.5,8.5,8.5
2135041050,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.0,8.0,9.0
2135041056,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.5,8.0,8.5
2135041062,8.0,9.0,9.0,10.0,7.5,8.5,8.0,10.0,8.5,9.5
2135041071,8.5,8.0,9.0,9.5,8.0,7.5,8.0,8.5,8.5,8.5
2135041075,8.0,9.0,9.0,10.0,7.0,9.0,8.0,8.5,8.5,9.0
2135041077,8.0,8.5,9.0,9.5,7.5,8.5,8.0,8.5,8.0,9.0
2135041083,8.5,9.5,9.0,9.5,7.5,9.5,8.0,9.5,9.0,9.5
2135041084,8.0,8.5,9.0,8.5,7.0,9.0,8.0,8.0,8.0,9.0
2135041085,8.0,9.0,9.0,9.0,7.5,9.5,8.0,9.0,8.0,8.5
2135041087,8.0,8.5,9.0,9.5,7.0,9.0,8.0,8.5,8.5,8.5
2135041092,8.0,8.5,9.0,9.5,7.5,8.5,8.0,9.0,8.5,8.5
2135041107,8.0,8.5,9.0,9.0,7.5,8.5,8.0,9.0,8.5,8.0
2135041108,8.0,8.5,9.0,8.5,7.5,8.5,8.0,9.0,8.0,9.0
2135041110,8.5,8.5,9.0,8.5,8.0,8.0,8.0,9.0,8.5,9.0
2135041117,8.5,7.0,9.0,9.0,8.0,6.0,8.0,9.0,8.5,7.5
2135041120,8.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0
2135041125,8.5,8.0,9.0,8.0,8.0,8.0,8.0,8.5,8.5,8.5
2135041132,8.5,8.0,9.0,8.5,8.0,7.5,8.0,8.5,8.5,8.5
2135041136,8.5,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.5,8.5
2135041141,8.0,9.0,9.0,9.0,7.5,9.0,8.0,9.0,8.5,8.5
2135041148,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.0,8.5
2135041149,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.5,8.0,9.0
2135041152,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.5,8.0,9.0
2135041153,8.0,9.0,9.0,9.5,8.0,8.5,8.0,9.5,8.0,9.0
2135041159,8.0,8.5,9.0,9.5,8.0,8.0,8.0,9.5,8.0,9.0
2135041161,8.0,9.0,9.0,9.5,8.0,9.0,8.0,10.0,8.0,9.0
2135041163,8.0,8.5,9.0,8.5,8.0,8.0,8.0,9.0,8.0,8.5
2135041171,8.0,9.0,9.0,10.0,8.0,9.0,8.0,9.5,8.0,9.0
2135041174,8.5,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.5,8.5
2135041175,8.5,9.0,9.0,9.5,8.0,8.5,8.0,9.5,8.5,9.5
2135041177,8.5,8.5,9.0,9.5,8.0,8.0,8.0,9.0,8.5,9.0
2135041182,8.5,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.5,9.0
2135041190,8.0,8.5,9.0,8.5,8.0,8.5,8.0,9.0,8.0,8.0
2135041195,8.5,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.5,9.0
2135041197,8.5,9.0,9.0,9.0,8.0,9.0,8.0,9.5,8.5,9.0
2135041202,8.5,8.0,9.0,9.0,8.0,7.5,8.0,8.5,8.5,8.5
2135041209,8.0,9.0,9.0,9.0,8.0,8.5,8.0,9.0,8.0,9.0
2135041212,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,8.5
2135041215,8.0,9.5,9.0,9.5,8.0,9.5,8.0,9.5,8.0,9.0
2135041216,8.0,8.5,9.0,9.5,8.0,8.5,8.0,9.5,8.0,8.5
2135041217,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.5,8.0,9.0
2135041218,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.0
2135041219,8.0,9.5,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.5
2135041225,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.0
2135041227,8.0,8.5,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.5
2135041229,8.0,9.0,9.0,9.5,8.0,8.5,8.0,10.0,8.0,9.0
2135041230,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.5,8.0,9.0
2135041234,8.0,8.5,9.0,9.0,8.0,9.0,8.0,8.5,8.0,8.0
2135041239,8.0,9.0,9.0,8.5,8.0,9.0,8.0,9.0,8.0,9.0
2135041246,8.0,8.5,9.0,9.5,7.5,8.5,8.0,8.5,8.0,9.0
2135041248,8.0,7.0,9.0,9.0,8.0,6.0,8.0,8.5,8.0,8.0
2135041266,8.0,8.5,9.0,9.0,8.0,8.0,8.0,8.5,8.0,8.5
2135041275,8.0,8.5,9.0,10.0,8.0,8.5,8.0,9.0,8.0,8.5
2135041277,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.0
2135041281,8.5,9.5,9.0,10.0,8.0,9.5,8.0,9.0,8.5,9.5
2135041283,8.5,8.5,9.0,9.5,8.0,8.5,8.0,8.5,8.5,9.0
2135041290,8.0,9.0,9.0,9.5,7.5,9.0,8.0,9.0,8.0,8.5
2135041306,8.0,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.0,9.0
2135041308,8.0,9.0,9.0,10.0,8.0,8.5,8.0,9.0,8.0,9.0
2135041311,8.0,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.0,8.5
2135041315,8.0,8.5,9.0,9.5,8.0,8.5,8.0,8.5,8.0,8.5
2135041320,8.0,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.0,8.5
2135041322,8.0,8.5,9.0,9.5,8.0,8.5,8.0,9.0,8.0,8.5
2135041325,8.0,8.5,9.0,9.5,8.0,8.5,8.0,8.5,8.0,9.0
2135041329,8.0,8.5,9.0,9.5,8.0,8.0,8.0,8.5,8.0,8.5
2135041330,8.0,9.0,9.0,10.0,8.0,9.5,8.0,9.0,8.0,9.0
2135041332,8.5,9.0,9.0,9.5,8.0,9.0,8.0,9.0,8.5,8.5
2135041336,8.5,8.5,9.0,10.0,8.0,8.5,8.0,9.0,8.5,8.5
2135041342,8.0,8.0,9.0,10.0,8.0,7.0,8.0,8.5,8.0,8.0
2135041344,8.0,8.5,9.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0
