Identifier,Grade,Centering,Surface,Corners,Edges
2135041001,7.5,10.0,7.0,8.5,7.5
2135041002,8.0,10.0,7.5,8.5,8.0
2135041003,9.0,9.5,8.5,9.0,9.0
2135041004,8.5,9.5,8.5,9.0,8.5
2135041005,8.0,10.0,8.5,8.5,7.5
2135041006,8.5,9.5,8.0,9.0,8.5
2135041007,8.5,10.0,8.5,9.0,8.0
2135041008,8.5,9.0,8.5,8.5,8.5
2135041009,5.0,9.5,5.5,5.0,5.0
2135041010,8.5,9.5,8.0,9.0,8.5
2135041011,9.0,9.5,8.5,9.0,9.0
2135041012,9.0,10.0,9.0,9.0,8.5
2135041013,9.0,9.5,9.0,9.0,8.5
2135041014,9.0,10.0,9.0,9.5,9.0
2135041015,8.5,8.5,8.5,8.5,9.0
2135041016,8.5,9.5,8.5,9.0,8.5
2135041017,8.0,10.0,8.5,8.0,7.5
2135041018,8.0,9.5,7.5,8.5,8.5
2135041019,8.0,8.5,7.5,8.5,9.0
2135041020,9.0,9.0,9.5,9.5,9.0
2135041021,9.5,9.5,9.0,9.5,9.5
2135041022,7.5,9.0,6.5,9.0,8.5
2135041023,9.0,9.0,8.5,9.0,9.0
2135041024,9.0,10.0,8.5,9.5,9.0
2135041025,8.5,8.5,8.5,9.0,9.0
2135041026,9.0,9.0,8.5,9.5,9.0
2135041027,8.0,9.0,7.5,8.5,8.5
2135041028,8.5,9.0,8.0,9.0,9.0
2135041029,9.0,9.5,9.0,9.0,9.5
2135041030,8.0,8.5,7.5,8.5,8.5
2135041031,9.0,9.0,9.5,9.5,9.0
2135041032,8.5,10.0,8.0,9.0,8.5
2135041033,8.0,9.0,8.0,8.5,8.0
2135041034,8.0,9.0,8.0,8.5,8.0
2135041035,9.5,9.5,9.0,10.0,9.5
2135041036,9.0,9.0,8.5,9.0,9.0
2135041037,9.0,9.5,8.5,9.0,9.0
2135041038,9.5,9.5,9.0,10.0,9.5
2135041039,7.0,9.0,8.5,6.0,7.5
2135041040,9.0,9.0,8.5,9.0,9.0
2135041041,9.0,9.5,9.0,9.0,9.0
2135041042,9.0,10.0,9.0,10.0,8.5
2135041043,8.0,9.0,7.5,8.5,8.5
2135041044,8.5,9.5,8.0,9.0,9.0
2135041045,9.0,9.5,9.0,9.5,9.0
